1280953,11,ITEM,-8.84,,,,,,,,,,,,,,,,,,30502.31.3443.413362.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60823819,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,IC,110533786,13561,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,12,ITEM,-0.44,,,,,,,,,,,,,,,,,,30502.31.3443.413004.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60816390,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110581742,14810,,,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,13,ITEM,-0.88,,,,,,,,,,,,,,,,,,30502.31.3443.413004.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60821324,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110581719,14810,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,14,ITEM,-8.84,,,,,,,,,,,,,,,,,,30502.31.3443.413362.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60944590,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,IC,110533868,13561,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,15,ITEM,-0.88,,,,,,,,,,,,,,,,,,30502.31.3443.413004.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60823819,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110581805,14810,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,16,ITEM,0,,,,,,,,,,,,,,,,,,30502.31.3443.413010.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60944590,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,IC,110548103,13101,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,17,ITEM,-10.96,,,,,,,,,,,,,,,,,,30502.31.3443.513002.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60823819,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110567564,14300,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,18,ITEM,-4.68,,,,,,,,,,,,,,,,,,30502.31.3443.513002.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-60944590,112006,KovZpa3Bxe,,1,A,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110567646,14300,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,19,ITEM,-6.18,,,,,,,,,,,,,,,,,,30502.31.3443.513002.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,AuditIC-61559898,112006,KovZpa3Bxe,,1,I,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,110567601,14300,,,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280953,20,ITEM,0,,,,,,,,,,,,,,,,,,30502.31.3443.200234.2061.9110006161.00000.1000000560.2009.000000,,2024/03/01,,,,,TAX CA QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ORPDIC-2301766,112006,KovZpa3Bxe,eTicket,0,I,CONCERTS,KZazBEonSMnZfZ7v6F1,100000135259705,FVFF,CCIC,112906975,14701,,,27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
