1280953,TM CA - Ticketing,IC_EXTRACT,16d7Zb704G7IgRw-1280953,-87.28,2024/02/16,,112969,TM Primary FV,CAD,CAD,EQT0315|Cuts Like a Knife – Hommage à Bryan Adams|2024/02/16|112006|QMISP20,2024040212541692421,CREDIT,Ticketmaster Canada LP,,,,,Advance-Weekly,2024/02/16,,,2024/03/01,,TM Primary FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,EQT0315,QUE,3QM992,16d7Zb704G7IgRw,300000079033253,Ticketmaster,FVFF,0,QMISP20,,K8vZ917j9J0,,,,30502,,,,,,2024/03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280976,TM CA - Ticketing,IC_EXTRACT,16d7ZbA8YG7n0BE-1280976,7.04,2024/02/27,,115408,TM Primary FV,CAD,CAD,ECA0125A|La grande veillée du 2 Pierrots|2024/02/27|112006|QMISP21,2024040212541692421,STANDARD,Ticketmaster Canada LP,,,,,Advance-Weekly,2024/02/27,,,2024/03/01,,TM Primary FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ECA0125A,QUE,3QM993,16d7ZbA8YG7n0BE,300000079033253,Ticketmaster,FVFF,0,QMISP21,,K8vZ917hzuV,,,,30502,,,,,,2025/01/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287106,TM CA - Ticketing,IC_EXTRACT,G5d7Z9Ip75seF-1287106,-29.3,2023/07/01,,112968,TM Primary Rebate,CAD,CAD,EQI0709X|PAW Patrol Live! "Heroes Unite"|2023/07/01|112006|QMISP03,2024040212541692421,CREDIT,Ticketmaster Canada LP,,,,,Advance-Weekly,2023/07/01,,,2024/03/01,,TM Primary Rebate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,EQI0709X,QUE,3QM340,G5d7Z9Ip75seF,300000079033253,Ticketmaster,REBATE,0,QMISP03,,K8vZ917bVxV,,,,30502,,,,,,2023/07/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298478,TM CA - Ticketing,IC_EXTRACT,G5d7Z9UEATwMy-1298478,240,2023/11/18,,115408,TM Primary Rebate,CAD,CAD,ECA1231A|Casino|2023/11/18|112006|QMISP21,2024040212541692421,STANDARD,Ticketmaster Canada LP,,,,,Advance-Weekly,2023/11/18,,,2024/03/01,,TM Primary Rebate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ECA1231A,QUE,3QM993,G5d7Z9UEATwMy,300000079033253,Ticketmaster,REBATE,0,QMISP21,,K8vZ9175MG7,,,,30502,,,,,,2023/12/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298549,TM CA - Ticketing,IC_EXTRACT,G5d7Z9UEH2f2Q-1298549,-22.48,2023/11/19,,112968,TM Primary FV,CAD,CAD,ELC0101|Casino|2023/11/19|112006|QMISP24,2024040212541692421,CREDIT,Ticketmaster Canada LP,,,,,Advance-Weekly,2023/11/19,,,2024/03/01,,TM Primary FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ELC0101,QUE,3QM995,G5d7Z9UEH2f2Q,300000079033253,Ticketmaster,FVFF,0,QMISP24,,K8vZ9175MG7,,,,30502,,,,,,2023/12/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304783,TM CA - Ticketing,IC_EXTRACT,G5d7Z9cKOTwVt-1304783,18.28,2023/07/16,,112969,TM Primary Rebate,CAD,CAD,"ECF1014|Bocelli & Friends, Hommage avec Steeve Diamond|2023/07/16|112006|QMISP20",2024040212541692421,STANDARD,Ticketmaster Canada LP,,,,,Advance-Weekly,2023/07/16,,,2024/03/01,,TM Primary Rebate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ECF1014,QUE,3QM992,G5d7Z9cKOTwVt,300000078281031,Ticketmaster,REBATE,0,QMISP20,,K8vZ917hj97,,,,30502,,,,,,2023/10/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310354,TM CA - Ticketing,IC_EXTRACT,G5d7Z9ihWN4NE-1310354,14.13,2023/07/09,,112968,TM Primary FV,CAD,CAD,ELC0908|Avery Martin Duval|2023/07/09|112006|QMISP24,2024040212541692421,STANDARD,Ticketmaster Canada LP,,,,,Advance-Weekly,2023/07/09,,,2024/03/01,,TM Primary FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IC Extract,ELC0908,QUE,3QM995,G5d7Z9ihWN4NE,300000078281031,Ticketmaster,FVFF,0,QMISP24,,K8vZ917hi8f,,,,30502,,,,,,2023/09/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
